,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Product Weights Data in (KG),Is Recyclable?,Min. Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_5755,"Single Female with two children, education: high school degree working as skilled manual",V13er_BC,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",,Deluxe,3.3 Millions,1.584 Millions,"{'Gross Weight': 18.606, 'Net Weight': 17.1524, 'Package Weight': 1.4536}",non recyclable,30K+,2147.46,1525.28,373.1,249.8,266.73
mc_ID_5756,"Married Female with three children, education: graduate degree working as professional",S04ne_WA,"Decongestants from Health and Hygiene department, Ordered Brand : Faux Products",,GLD,Supermarket,6.96 Millions,2.9928 Millions,"{'Gross Weight': 24.275, 'Net Weight': 19.9142, 'Package Weight': 4.3608}",recyclable,90K+,2811.99,2049.72,457.36,,697.7866
mc_ID_5757,"Single Male with No children, education: partial high school working as manual",S01em_OR,"Vegetables from Produce department, Ordered Brand : High Top","['Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Bag Stuffer,Deluxe,1.86 Millions,0.7812 Millions,"{'Gross Weight': 23.4028, 'Net Weight': 20.4957, 'Package Weight': 2.9072}",non recyclable,10K+,2572.86,1735.56,503.07,335.38,662.2226
mc_ID_5758,"Single Male with two children, education: high school degree working as skilled manual",S01em_OR,"Candy from Snacks department, Ordered Brand : Gulf Coast","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist', 'Video Store']",Save It (Sale),Deluxe,7.08 Millions,3.54 Millions,"{'Gross Weight': 15.8442, 'Net Weight': 11.4688, 'Package Weight': 4.3753}",recyclable,30K+,2576.58,1734.98,503.07,333.61,755.1074
mc_ID_5759,"Single Male with three children, education: bachelors degree working as management",B06ls_CA,"Dairy from Dairy department, Ordered Brand : Booker","['Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",,Gourmet,2.68 Millions,0.8308 Millions,"{'Gross Weight': 9.1576, 'Net Weight': 7.704, 'Package Weight': 1.4536}",recyclable,10K+,2200.69,1424.85,465.54,310.3,449.1524
mc_ID_5760,"Married Male with three children, education: bachelors degree working as management",S03le_WA,"Hot Beverages from Beverages department, Ordered Brand : Plato",['Coffee Bar'],Price Smashers,Supermarket,2.24 Millions,0.9632 Millions,"{'Gross Weight': 24.275, 'Net Weight': 19.9142, 'Package Weight': 4.3608}",non recyclable,90K+,1970.94,1236.07,440.92,294.36,722.9429
mc_ID_5761,"Single Female with three children, education: high school degree working as skilled manual",H11go_ZA,"Eggs from Eggs department, Ordered Brand : Jumbo","['Ready Food', 'Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad']",,Deluxe,11.88 Millions,4.8708 Millions,"{'Gross Weight': 11.0764, 'Net Weight': 8.1547, 'Package Weight': 2.9217}",recyclable,30K+,2841.35,2038.11,481.98,319.43,358.9349
mc_ID_5762,"Married Female with two children, education: partial high school working as professional",S03le_WA,"Hardware from Checkout department, Ordered Brand : Queen",['Coffee Bar'],Weekend Discount,Supermarket,2.67 Millions,0.9879 Millions,"{'Gross Weight': 12.5154, 'Net Weight': 8.1401, 'Package Weight': 4.3753}",recyclable,130K+,1970.95,1236.07,442.92,293.95,698.728
mc_ID_5763,"Married Female with four children, education: partial high school working as manual",B08am_WA,"Dairy from Dairy department, Ordered Brand : Gorilla",['Coffee Bar'],,,3.14 Millions,1.0048 Millions,"{'Gross Weight': 12.7771, 'Net Weight': 9.8554, 'Package Weight': 2.9217}",non recyclable,30K+,2616.88,2069.04,330.83,220.55,564.9446
mc_ID_5764,"Married Female with one child, education: partial college working as clerical",S01em_OR,"Plastic Products from Household department, Ordered Brand : Red Wing","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food', 'Video Store']",Lottery Cash Registerion,Deluxe,7.77 Millions,2.9526 Millions,"{'Gross Weight': 29.2172, 'Net Weight': 26.31, 'Package Weight': 2.9072}",non recyclable,30K+,2572.44,1734.5,503.07,335.38,290.7357
mc_ID_5765,"Married Female with one child, education: partial high school working as manual",C15ho_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",GLD,Gourmet,10.84 Millions,5.0948 Millions,"{'Gross Weight': 30.0894, 'Net Weight': 25.7286, 'Package Weight': 4.3608}",non recyclable,10K+,,1564.19,385.45,,396.2248
mc_ID_5766,"Married Female with four children, education: bachelors degree working as management",C15ho_ZA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Two Day Sale,Gourmet,8.96 Millions,3.2256 Millions,"{'Gross Weight': 14.1144, 'Net Weight': 9.7536, 'Package Weight': 4.3608}",recyclable,70K+,2207.28,1564.86,385.45,256.97,486.9653
mc_ID_5767,"Married Female with three children, education: bachelors degree working as professional",H11go_ZA,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Florist', 'Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food']",Save Price,Deluxe,5.58 Millions,2.6784 Millions,"{'Gross Weight': 19.6235, 'Net Weight': 15.2627, 'Package Weight': 4.3608}",recyclable,50K+,2845.31,2040.22,481.98,321.26,284.3028
mc_ID_5768,"Married Male with three children, education: bachelors degree working as management",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Florist', 'Coffee Bar', 'Bar For Salad', 'Video Store', 'Ready Food']",Sale Winners,,8.73 Millions,4.1904 Millions,"{'Gross Weight': 31.2522, 'Net Weight': 29.7987, 'Package Weight': 1.4536}",recyclable,50K+,2863.64,1869.72,593.93,395.52,519.7574
mc_ID_5769,"Married Female with one child, education: high school degree working as skilled manual",M10da_YU,"Dairy from Dairy department, Ordered Brand : Even Better","['Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Sale Winners,Deluxe,2.46 Millions,1.0578 Millions,"{'Gross Weight': 29.5079, 'Net Weight': 26.4554, 'Package Weight': 3.0525}",non recyclable,30K+,2861.13,1871.02,593.93,395.95,519.7574
mc_ID_5770,"Single Female with three children, education: high school degree working as manual",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Video Store', 'Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Shelf Clearing Days,,7.56 Millions,2.5704 Millions,"{'Gross Weight': 15.2627, 'Net Weight': 12.3555, 'Package Weight': 2.9072}",non recyclable,30K+,2864.19,1871.16,593.93,395.95,516.7763
mc_ID_5771,"Married Female with one child, education: partial high school working as manual",B14on_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Ready Food', 'Bar For Salad']",Full Free,Supermarket,15.52 Millions,6.3632 Millions,"{'Gross Weight': 23.4028, 'Net Weight': 20.4957, 'Package Weight': 2.9072}",recyclable,50K+,3692.25,2264.3,853.22,568.75,736.907
mc_ID_5772,"Married Male with three children, education: high school degree working as skilled manual",B14on_WA,"Meat from Deli department, Ordered Brand : Moms","['Bar For Salad', 'Ready Food']",Super Duper Savers,Supermarket,8.25 Millions,3.135 Millions,"{'Gross Weight': 19.1874, 'Net Weight': 16.1349, 'Package Weight': 3.0525}",recyclable,30K+,,2264.36,853.22,568.75,677.285
mc_ID_5773,"Single Female with five children, education: partial college working as manual",M10da_YU,"Hardware from Household department, Ordered Brand : Red Wing","['Florist', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",GLD,Deluxe,14.08 Millions,6.1952 Millions,"{'Gross Weight': 30.9615, 'Net Weight': 27.909, 'Package Weight': 3.0525}",recyclable,30K+,2861.87,,593.93,395.95,484.1411
mc_ID_5774,"Married Female with two children, education: bachelors degree working as professional",P07nd_OR,"Bathroom Products from Household department, Ordered Brand : Sunset",,Weekend Discount,Supermarket,1.59 Millions,0.5406 Millions,"{'Gross Weight': 10.4368, 'Net Weight': 8.9687, 'Package Weight': 1.4681}",non recyclable,50K+,1887.7,1508,227.8,151.9,735.1811
mc_ID_5775,"Single Male with four children, education: partial college working as skilled manual",O09ba_VE,"Snack Foods from Snack Foods department, Ordered Brand : Fast","['Ready Food', 'Bar For Salad']",Super Savers,Supermarket,2.2 Millions,0.792 Millions,"{'Gross Weight': 27.0368, 'Net Weight': 24.1296, 'Package Weight': 2.9072}",recyclable,30K+,3232.19,2448.37,470.27,314.69,754.7413
mc_ID_5776,"Married Male with two children, education: high school degree working as skilled manual",S18co_CA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products",['Coffee Bar'],Price Winners,Small Grocery,2.98 Millions,0.9238 Millions,"{'Gross Weight': 16.8617, 'Net Weight': 12.5009, 'Package Weight': 4.3608}",recyclable,30K+,2090.58,1424.84,398.93,265.98,362.1252
mc_ID_5777,"Single Female with five children, education: high school degree working as manual",T02ma_WA,"Candy from Snacks department, Ordered Brand : Atomic","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Weekend Discount,Deluxe,7.12 Millions,2.848 Millions,"{'Gross Weight': 20.2049, 'Net Weight': 15.6988, 'Package Weight': 4.5061}",non recyclable,30K+,3145.51,2055.29,654.13,436.09,382.0515
mc_ID_5778,"Married Female with one child, education: bachelors degree working as professional",B06ls_CA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",,Gourmet,5.82 Millions,2.5608 Millions,"{'Gross Weight': 25.2925, 'Net Weight': 23.6936, 'Package Weight': 1.599}",recyclable,50K+,2200.69,1424.85,465.54,310.73,304.1768
mc_ID_5779,"Single Female with two children, education: high school degree working as manual",P07nd_OR,"Hardware from Household department, Ordered Brand : Cormorant",,Full Free,,6.84 Millions,3.2148 Millions,"{'Gross Weight': 13.9981, 'Net Weight': 12.5445, 'Package Weight': 1.4536}",recyclable,30K+,1887.7,1508,,151.9,660.2352
mc_ID_5780,"Married Female with four children, education: bachelors degree working as professional",O09ba_VE,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Bar For Salad', 'Ready Food']",Super Savers,,3.76 Millions,1.504 Millions,"{'Gross Weight': 23.4028, 'Net Weight': 21.9493, 'Package Weight': 1.4536}",non recyclable,70K+,3231.08,2448.37,470.27,313.55,754.7413
mc_ID_5781,"Married Male with four children, education: partial high school working as skilled manual",B06ls_CA,"Specialty from Produce department, Ordered Brand : Ebony","['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",,Gourmet,2.58 Millions,1.032 Millions,"{'Gross Weight': 28.1997, 'Net Weight': 25.1472, 'Package Weight': 3.0525}",non recyclable,10K+,2198.49,1424.85,465.54,,675.716
mc_ID_5782,"Single Male with three children, education: partial high school working as skilled manual",B14on_WA,"Specialty from Carousel department, Ordered Brand : Symphony","['Bar For Salad', 'Ready Food']",Mystery Sale,Supermarket,4.8 Millions,2.304 Millions,"{'Gross Weight': 25.2925, 'Net Weight': 22.24, 'Package Weight': 3.0525}",recyclable,10K+,3685.89,2267.2,853.22,570.31,444.3931
mc_ID_5783,"Married Male with two children, education: high school degree working as skilled manual",B14on_WA,"Vegetables from Frozen Foods department, Ordered Brand : PigTail","['Ready Food', 'Bar For Salad']",Shelf Clearing Days,Supermarket,2.43 Millions,0.8991 Millions,"{'Gross Weight': 14.4487, 'Net Weight': 11.527, 'Package Weight': 2.9217}",non recyclable,30K+,3687.88,,853.22,568.75,554.903
mc_ID_5784,"Married Male with No children, education: bachelors degree working as professional",S01em_OR,"Paper Products from Household department, Ordered Brand : High Quality","['Coffee Bar', 'Bar For Salad', 'Video Store', 'Ready Food', 'Florist']",,Deluxe,6.64 Millions,2.7888 Millions,"{'Gross Weight': 28.6358, 'Net Weight': 24.275, 'Package Weight': 4.3608}",non recyclable,50K+,2572.86,1734.5,503.07,335.38,500.9294
mc_ID_5785,"Married Female with four children, education: high school degree working as professional",S03le_WA,"Paper Products from Household department, Ordered Brand : High Quality",['Coffee Bar'],Weekend Discount,Supermarket,7.59 Millions,2.5047 Millions,"{'Gross Weight': 15.2627, 'Net Weight': 10.9019, 'Package Weight': 4.3608}",non recyclable,90K+,1967.85,1237.84,440.92,293.95,364.1649
mc_ID_5786,"Married Male with one child, education: bachelors degree working as professional",M10da_YU,"Pure Juice Beverages from Beverages department, Ordered Brand : Token","['Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food', 'Florist']",Sale Winners,Deluxe,5.4 Millions,1.728 Millions,"{'Gross Weight': 11.6869, 'Net Weight': 10.2188, 'Package Weight': 1.4681}",recyclable,110K+,2858.43,1871.16,,395.95,519.7574
mc_ID_5787,"Married Female with four children, education: partial high school working as skilled manual",H11go_ZA,"Pizza from Frozen Foods department, Ordered Brand : PigTail","['Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Go For It,Deluxe,4.84 Millions,1.6456 Millions,"{'Gross Weight': 14.6813, 'Net Weight': 11.7741, 'Package Weight': 2.9072}",recyclable,10K+,2846.12,2038.94,481.98,321.26,455.3761
mc_ID_5788,"Single Male with two children, education: partial high school working as skilled manual",B14on_WA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good","['Bar For Salad', 'Ready Food']",,Supermarket,6.54 Millions,2.6814 Millions,"{'Gross Weight': 13.5911, 'Net Weight': 9.2303, 'Package Weight': 4.3608}",non recyclable,30K+,3687.88,2264.36,853.22,568.75,554.903
mc_ID_5789,"Married Female with two children, education: bachelors degree working as professional",S01em_OR,"Candy from Snacks department, Ordered Brand : Atomic","['Coffee Bar', 'Video Store', 'Bar For Salad', 'Ready Food', 'Florist']",Price Slashers,Deluxe,6.32 Millions,2.5912 Millions,"{'Gross Weight': 11.3235, 'Net Weight': 8.4018, 'Package Weight': 2.9217}",recyclable,70K+,,,503.07,337.18,282.9953
mc_ID_5790,"Single Male with one child, education: high school degree working as manual",B14on_WA,"Vegetables from Canned Foods department, Ordered Brand : Blue Label","['Ready Food', 'Bar For Salad']",Super Duper Savers,Supermarket,5.34 Millions,2.5632 Millions,"{'Gross Weight': 18.3153, 'Net Weight': 15.4081, 'Package Weight': 2.9072}",recyclable,30K+,3689.64,2265.9,853.22,570.52,677.285
mc_ID_5791,"Single Female with two children, education: high school degree working as professional",T02ma_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Super Duper Savers,Deluxe,5.76 Millions,1.8432 Millions,"{'Gross Weight': 30.8162, 'Net Weight': 27.909, 'Package Weight': 2.9072}",non recyclable,70K+,3146.56,2055.83,656.13,437.7,364.2695
mc_ID_5792,"Single Male with three children, education: high school degree working as manual",S01em_OR,"Breakfast Foods from Frozen Foods department, Ordered Brand : Carrington","['Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist']",One Day Sale,Deluxe,7.41 Millions,3.3345 Millions,"{'Gross Weight': 21.0771, 'Net Weight': 19.6235, 'Package Weight': 1.4536}",non recyclable,30K+,2572.86,1734.5,503.07,336.2,689.0525
mc_ID_5793,"Married Female with four children, education: partial high school working as management",H11go_ZA,"Vegetables from Produce department, Ordered Brand : Tell Tale",,Price Destroyers,Mid-Size,12.68 Millions,5.9596 Millions,"{'Gross Weight': 29.2172, 'Net Weight': 26.31, 'Package Weight': 2.9072}",recyclable,110K+,3565.8,2818.3,447.7,298.5,728.2775
mc_ID_5794,"Married Male with two children, education: partial high school working as skilled manual",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist', 'Ready Food']",,,5.34 Millions,2.1894 Millions,"{'Gross Weight': 27.6183, 'Net Weight': 26.1647, 'Package Weight': 1.4536}",recyclable,10K+,2844.26,,481.98,321.26,602.7575
mc_ID_5795,"Single Female with No children, education: bachelors degree working as professional",C15ho_ZA,"Fruit from Produce department, Ordered Brand : Ebony","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",,Gourmet,8.88 Millions,4.0848 Millions,"{'Gross Weight': 14.4778, 'Net Weight': 11.5706, 'Package Weight': 2.9072}",non recyclable,50K+,2206.61,1564.86,387.45,257.65,486.9653
mc_ID_5796,"Single Female with No children, education: high school degree working as skilled manual",H11go_ZA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden","['Video Store', 'Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Pick Your Savings,,3.39 Millions,1.4577 Millions,"{'Gross Weight': 13.5911, 'Net Weight': 10.6839, 'Package Weight': 2.9072}",non recyclable,30K+,2841.35,2036.58,481.98,321.26,739.4174
mc_ID_5797,"Single Female with four children, education: bachelors degree working as professional",H11go_ZA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide","['Florist', 'Ready Food', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Dimes Off,Deluxe,7.95 Millions,2.9415 Millions,"{'Gross Weight': 16.4256, 'Net Weight': 13.5184, 'Package Weight': 2.9072}",non recyclable,10K+,2846.07,2038.11,483.98,321.26,602.7575
mc_ID_5798,"Single Male with three children, education: partial high school working as manual",M12ty_DF,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",,,,10.04 Millions,4.9196 Millions,"{'Gross Weight': 13.5329, 'Net Weight': 9.1722, 'Package Weight': 4.3608}",non recyclable,10K+,3391.62,2085.67,783.64,520.53,531.4203
mc_ID_5799,"Single Female with one child, education: partial high school working as skilled manual",S01em_OR,"Vegetables from Produce department, Ordered Brand : Hermanos","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",Big Time Discounts,,11.73 Millions,3.7536 Millions,"{'Gross Weight': 25.0018, 'Net Weight': 22.0946, 'Package Weight': 2.9072}",recyclable,50K+,2571.1,1734.5,503.07,336.88,583.1973
mc_ID_5800,"Single Male with five children, education: high school degree working as manual",T02ma_WA,"Paper Products from Household department, Ordered Brand : Red Wing","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Save Price,Deluxe,10.68 Millions,4.3788 Millions,"{'Gross Weight': 22.676, 'Net Weight': 21.2225, 'Package Weight': 1.4536}",recyclable,30K+,3145.51,2055.29,654.13,437.43,602.1299
mc_ID_5801,"Married Female with two children, education: bachelors degree working as professional",S01em_OR,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden","['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",Sale : Double Down,Deluxe,4.08 Millions,1.4688 Millions,"{'Gross Weight': 10.3496, 'Net Weight': 7.4279, 'Package Weight': 2.9217}",non recyclable,50K+,2571.06,1734.33,503.07,335.38,265.6317
mc_ID_5802,"Single Male with No children, education: partial high school working as manual",V13er_BC,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden","['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",,,3.9 Millions,1.209 Millions,"{'Gross Weight': 13.7946, 'Net Weight': 12.3265, 'Package Weight': 1.4681}",recyclable,10K+,,1525.28,375.1,248.79,755.9442
mc_ID_5803,"Single Female with five children, education: high school degree working as skilled manual",P07nd_OR,"Carbonated Beverages from Beverages department, Ordered Brand : Fabulous",,Weekend Discount,Supermarket,9.36 Millions,2.9952 Millions,"{'Gross Weight': 25.7286, 'Net Weight': 21.3678, 'Package Weight': 4.3608}",non recyclable,30K+,,,227.8,,735.1811
mc_ID_5804,"Married Male with two children, education: bachelors degree working as professional",S04ne_WA,"Decongestants from Health and Hygiene department, Ordered Brand : Bird Call",,Go For It,,5.64 Millions,1.692 Millions,"{'Gross Weight': 30.3801, 'Net Weight': 27.3275, 'Package Weight': 3.0525}",recyclable,50K+,2814.83,2049.72,457.36,,509.6635
mc_ID_5805,"Married Male with four children, education: bachelors degree working as professional",P07nd_OR,"Carbonated Beverages from Beverages department, Ordered Brand : Excellent",,,Supermarket,2.88 Millions,1.1232 Millions,"{'Gross Weight': 22.5307, 'Net Weight': 21.0771, 'Package Weight': 1.4536}",non recyclable,70K+,1890.81,1508,227.8,151.08,619.0228
mc_ID_5806,"Married Female with four children, education: partial college working as skilled manual",P07nd_OR,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",,Price Slashers,Supermarket,4.17 Millions,1.4595 Millions,"{'Gross Weight': 13.6056, 'Net Weight': 10.6839, 'Package Weight': 2.9217}",recyclable,30K+,,1508,227.8,150.29,351.456
mc_ID_5807,"Married Female with five children, education: graduate degree working as management",T02ma_WA,"Vegetables from Produce department, Ordered Brand : Tri-State","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Two for One,Deluxe,7.5 Millions,3.375 Millions,"{'Gross Weight': 9.6809, 'Net Weight': 6.7592, 'Package Weight': 2.9217}",recyclable,70K+,,2055.29,654.13,436.09,312.9109
mc_ID_5808,"Married Male with two children, education: high school degree working as professional",T02ma_WA,"Vegetables from Produce department, Ordered Brand : Tri-State","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Super Savers,Deluxe,3.48 Millions,1.4616 Millions,"{'Gross Weight': 24.8564, 'Net Weight': 21.9493, 'Package Weight': 2.9072}",recyclable,70K+,3147.04,2055.29,654.13,436.09,373.9973
mc_ID_5809,"Married Male with No children, education: high school degree working as manual",O09ba_VE,"Vegetables from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Bar For Salad']",Money Savers,Supermarket,6.88 Millions,3.44 Millions,"{'Gross Weight': 13.6492, 'Net Weight': 10.7421, 'Package Weight': 2.9072}",recyclable,30K+,3232.19,2448.37,470.27,313.55,290.0035
mc_ID_5810,"Single Female with two children, education: bachelors degree working as professional",P07nd_OR,"Candles from Household department, Ordered Brand : Sunset",,Best Price Savers,Supermarket,2.24 Millions,0.7168 Millions,"{'Gross Weight': 17.7338, 'Net Weight': 13.3585, 'Package Weight': 4.3753}",recyclable,70K+,,1508,227.8,151.9,650.4028
mc_ID_5811,"Married Female with two children, education: partial college working as clerical",S03le_WA,"Canned Soup from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],Best Price Savers,Supermarket,3.0 Millions,1.17 Millions,"{'Gross Weight': 12.123, 'Net Weight': 10.6694, 'Package Weight': 1.4536}",recyclable,30K+,1970.32,1236.07,440.92,293.95,349.2594
mc_ID_5812,"Married Female with three children, education: partial high school working as skilled manual",S01em_OR,"Starchy Foods from Starchy Foods department, Ordered Brand : Medalist","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",Bag Stuffer,Deluxe,5.36 Millions,2.1976 Millions,"{'Gross Weight': 30.5255, 'Net Weight': 29.0719, 'Package Weight': 1.4536}",recyclable,10K+,,,503.07,335.38,662.2226
mc_ID_5813,"Married Female with four children, education: partial high school working as professional",M12ty_DF,"Meat from Deli department, Ordered Brand : Lake",,Budget Bargains,Mid-Size,11.76 Millions,5.88 Millions,"{'Gross Weight': 28.1997, 'Net Weight': 23.6936, 'Package Weight': 4.5061}",recyclable,130K+,3387.37,2083.65,783.64,522.49,546.0643
mc_ID_5814,"Married Female with two children, education: bachelors degree working as professional",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Coffee Bar', 'Video Store', 'Ready Food', 'Bar For Salad', 'Florist']",Promo Big,Deluxe,10.08 Millions,3.3264 Millions,"{'Gross Weight': 27.909, 'Net Weight': 23.5482, 'Package Weight': 4.3608}",non recyclable,70K+,2862.04,1871.31,593.93,395.95,578.2288
mc_ID_5815,"Married Male with two children, education: bachelors degree working as management",L05es_CA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",['Florist'],Price Destroyers,Supermarket,2.88 Millions,0.8928 Millions,"{'Gross Weight': 13.6928, 'Net Weight': 10.7857, 'Package Weight': 2.9072}",recyclable,50K+,2192.32,1319.66,523.32,,710.8616
mc_ID_5816,"Single Female with four children, education: high school degree working as skilled manual",S01em_OR,"Dairy from Dairy department, Ordered Brand : Booker","['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Lottery Cash Registerion,Deluxe,4.32 Millions,1.512 Millions,"{'Gross Weight': 11.9921, 'Net Weight': 7.6314, 'Package Weight': 4.3608}",non recyclable,30K+,,1734.38,503.07,335.38,500.9294
mc_ID_5817,"Single Female with four children, education: high school degree working as manual",S03le_WA,"Canned Tuna from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],Discount Frenzy,Supermarket,11.08 Millions,3.5456 Millions,"{'Gross Weight': 31.543, 'Net Weight': 28.6358, 'Package Weight': 2.9072}",non recyclable,30K+,1972.62,1236.07,442.92,293.95,760.4943
mc_ID_5818,"Married Female with one child, education: bachelors degree working as professional",O09ba_VE,"Meat from Deli department, Ordered Brand : American","['Ready Food', 'Bar For Salad']",Super Savers,Supermarket,11.48 Millions,4.7068 Millions,"{'Gross Weight': 22.9668, 'Net Weight': 20.0596, 'Package Weight': 2.9072}",recyclable,50K+,3234.95,2448.37,470.27,312.58,754.7413
mc_ID_5819,"Married Female with three children, education: bachelors degree working as professional",V13er_BC,"Fruit from Produce department, Ordered Brand : Ebony","['Florist', 'Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad']",Super Duper Savers,Deluxe,4.05 Millions,1.9845 Millions,"{'Gross Weight': 31.2522, 'Net Weight': 28.3451, 'Package Weight': 2.9072}",recyclable,70K+,2145.33,1525.28,,247.34,318.3501
mc_ID_5820,"Married Male with five children, education: partial college working as professional",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Ebony","['Bar For Salad', 'Ready Food', 'Florist', 'Video Store', 'Coffee Bar']",Shelf Clearing Days,Gourmet,10.6 Millions,4.982 Millions,"{'Gross Weight': 15.6988, 'Net Weight': 12.7916, 'Package Weight': 2.9072}",non recyclable,130K+,,1424.85,,312.27,533.2508
mc_ID_5821,"Single Male with four children, education: high school degree working as skilled manual",B06ls_CA,"Meat from Meat department, Ordered Brand : Gerolli","['Coffee Bar', 'Ready Food', 'Video Store', 'Florist', 'Bar For Salad']",Two Day Sale,Gourmet,5.36 Millions,1.7152 Millions,"{'Gross Weight': 28.3451, 'Net Weight': 25.4379, 'Package Weight': 2.9072}",recyclable,30K+,2200.69,1424.85,465.54,311.5,588.4796
mc_ID_5822,"Single Female with four children, education: partial college working as professional",C15ho_ZA,"Vegetables from Produce department, Ordered Brand : High Top","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",,Gourmet,4.98 Millions,2.4402 Millions,"{'Gross Weight': 15.2627, 'Net Weight': 12.3555, 'Package Weight': 2.9072}",non recyclable,50K+,2204.38,1564.86,387.45,255.69,769.7514
mc_ID_5823,"Single Male with four children, education: bachelors degree working as professional",S03le_WA,"Vegetables from Produce department, Ordered Brand : Tell Tale",['Coffee Bar'],Dimes Off,Supermarket,7.92 Millions,3.168 Millions,"{'Gross Weight': 10.8002, 'Net Weight': 7.8785, 'Package Weight': 2.9217}",recyclable,50K+,1974.73,1234.69,440.92,293.95,688.1634
mc_ID_5824,"Single Female with four children, education: high school degree working as manual",S04ne_WA,"Dairy from Dairy department, Ordered Brand : Even Better",,Big Time Discounts,Supermarket,2.55 Millions,1.0455 Millions,"{'Gross Weight': 21.5132, 'Net Weight': 18.606, 'Package Weight': 2.9072}",recyclable,30K+,2811.99,2049.72,457.36,,310.662
mc_ID_5825,"Single Female with No children, education: partial high school working as skilled manual",S01em_OR,"Starchy Foods from Starchy Foods department, Ordered Brand : Monarch","['Video Store', 'Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Bag Stuffer,Deluxe,8.7 Millions,2.958 Millions,"{'Gross Weight': 11.9195, 'Net Weight': 7.5441, 'Package Weight': 4.3753}",recyclable,10K+,,1734.5,503.07,335.38,662.2226
